date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:45	14243/14243	---M--	200	added ('OK')	application/javascript	etag:%2237a3-5706d1dd81580%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/js/aos.js	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/js/aos.js	(from https://diva-dan-royan.webnikah.com/)
01:00:45	0/0	---M--	200	added ('OK')	application/javascript	etag:%220-5b8fccfda1a80%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/js/main.js	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/js/main.js	(from https://diva-dan-royan.webnikah.com/)
01:00:45	129648/129648	---M--	200	added ('OK')	font/eot	etag:%221fa70-59fdc50eec4c0%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.eot	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.eot	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:46	129648/129648	---M--	200	added ('OK')	font/eot	etag:%221fa70-59fdc50eec4c0%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.eot?	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400d41d.eot	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:46	74652/74652	---M--	200	added ('OK')	font/woff2	etag:%221239c-59fdc50fe0700%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.woff2	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.woff2	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:47	87544/87544	---M--	200	added ('OK')	font/woff	etag:%22155f8-59fdc50df8280%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.woff	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.woff	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:47	129344/129344	---M--	200	added ('OK')	font/ttf	etag:%221f940-59fdc50d04040%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.ttf	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.ttf	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:48	691822/691822	---M--	200	added ('OK')	image/svg+xml	etag:%22a8e6e-59fdc50df8280%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.svg	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-brands-400.svg	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:48	400852/400852	---M--	200	added ('OK')	font/eot	etag:%2261dd4-59fdc50d04040%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.eot	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.eot	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:49	157008/157008	---M--	200	added ('OK')	font/woff2	etag:%2226550-59fdc50d04040%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.woff2	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.woff2	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:49	400852/400852	---M--	200	added ('OK')	font/eot	etag:%2261dd4-59fdc50d04040%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.eot?	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300d41d.eot	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
